,ts_code,name,industry
401,000989.SZ,九芝堂,中成药
402,000990.SZ,诚志股份,化工原料
403,000993.SZ,闽东电力,水力发电
404,000995.SZ,皇台酒业,白酒
405,000997.SZ,新大陆,IT设备
406,000998.SZ,隆平高科,种植业
407,000999.SZ,华润三九,中成药
408,001201.SZ,东瑞股份,农业综合
409,001202.SZ,炬申股份,仓储物流
410,001203.SZ,大中矿业,普钢
411,001205.SZ,盛航股份,水运
412,001206.SZ,依依股份,造纸
413,001207.SZ,联科科技,化工原料
414,001208.SZ,华菱线缆,电气设备
415,001209.SZ,洪兴股份,服饰
416,001210.SZ,金房能源,供气供热
417,001211.SZ,双枪科技,家居用品
418,001212.SZ,中旗新材,其他建材
419,001213.SZ,中铁特货,仓储物流
420,001215.SZ,千味央厨,食品
421,001216.SZ,华瓷股份,家居用品
422,001217.SZ,华尔泰,化工原料
423,001218.SZ,丽臣实业,化工原料
424,001219.SZ,青岛食品,食品
425,001222.SZ,源飞宠物,文教休闲
426,001223.SZ,欧克科技,专用机械
427,001225.SZ,和泰机电,专用机械
428,001226.SZ,拓山重工,工程机械
429,001227.SZ,兰州银行,银行
430,001228.SZ,永泰运,仓储物流
431,001229.SZ,魅视科技,IT设备
432,001230.SZ,劲旅环境,环境保护
433,001231.SZ,农心科技,农药化肥
434,001234.SZ,泰慕士,服饰
435,001236.SZ,弘业期货,多元金融
436,001238.SZ,浙江正特,家居用品
437,001239.SZ,永达股份,工程机械
438,001255.SZ,博菲电气,化工原料
439,001256.SZ,炜冈科技,轻工机械
440,001258.SZ,立新能源,新型电力
441,001259.SZ,利仁科技,家用电器
442,001260.SZ,坤泰股份,汽车配件
443,001266.SZ,宏英智能,电器仪表
444,001267.SZ,汇绿生态,建筑工程
445,001268.SZ,联合精密,机械基件
446,001269.SZ,欧晶科技,矿物制品
447,001270.SZ,铖昌科技,半导体
448,001278.SZ,一彬科技,汽车配件
449,001282.SZ,三联锻造,汽车配件
450,001283.SZ,豪鹏科技,电气设备
451,001286.SZ,陕西能源,火力发电
452,001287.SZ,中电港,元器件
453,001288.SZ,运机集团,专用机械
454,001289.SZ,龙源电力,新型电力
455,001296.SZ,长江材料,其他建材
456,001298.SZ,好上好,元器件
457,001299.SZ,美能能源,供气供热
458,001300.SZ,三柏硕,文教休闲
459,001301.SZ,尚太科技,电气设备
460,001306.SZ,夏厦精密,机械基件
461,001308.SZ,康冠科技,元器件
462,001309.SZ,德明利,半导体
463,001311.SZ,多利科技,汽车配件
464,001313.SZ,粤海饲料,饲料
465,001314.SZ,亿道信息,元器件
466,001316.SZ,润贝航科,批发业
467,001317.SZ,三羊马,仓储物流
468,001318.SZ,阳光乳业,乳制品
469,001319.SZ,铭科精技,汽车配件
470,001322.SZ,箭牌家居,家居用品
471,001323.SZ,慕思股份,家居用品
472,001324.SZ,长青科技,运输设备
473,001326.SZ,联域股份,电气设备
474,001328.SZ,登康口腔,日用化工
475,001330.SZ,博纳影业,影视音像
476,001331.SZ,胜通能源,仓储物流
477,001332.SZ,锡装股份,专用机械
